all_flow_lemon,ipv4_flow,ipv6_flow,arp_flow,tcp_flow,udp_flow,icmp_flow,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,7,0,756,85,31,
187267,171170,16510,94,152449,32222,4563,
376019,345483,30967,108,303663,64958,8931,
566717,524509,42599,132,463954,90985,13049,
747575,695545,52425,190,607686,124785,16171,
934635,870047,64895,210,765369,150023,20038,
1113591,1038690,75226,284,915877,174985,23500,
1313408,1225092,88584,306,1080401,205148,28219,
1432877,1335231,97326,320,1177882,221713,31213,
1496049,1395991,100215,328,1232992,230063,32692,
1689913,1579183,110894,408,1398023,254889,36682,
1891702,1766156,125816,428,1569853,281487,40438,
2123616,1982230,141623,523,1766830,311620,45009,
2385824,2233747,152359,556,1988205,347262,49827,
2641247,2481330,160062,613,2195378,389999,54706,
2902636,2735676,167325,662,2412064,429485,59763,
3158759,2979667,179221,679,2630239,462070,64271,
3420015,3219436,200641,756,2853461,495253,68528,
3681049,3452205,228863,767,3073461,531343,72969,
3939830,3696424,243291,842,3296160,563001,76836,
4177979,3921399,256498,855,3506348,586730,80687,
4426401,4155125,271137,876,3723603,613726,84580,
4686872,4402759,283926,943,3952473,640757,88609,
4947676,4648285,299230,964,4179023,670728,92905,
5201289,4872305,328744,1026,4394695,703555,97438,
5459997,5116494,343226,1058,4617452,734922,101576,
5714885,5360778,353815,1080,4837161,765314,105888,
5976116,5610099,365658,1156,5060924,798044,110295,
6237112,5860476,376266,1174,5278029,836960,114895,
6498839,6105324,392990,1244,5498483,872996,119470,
6754923,6345452,408986,1270,5717210,905623,123675,
7007993,6584437,423152,1300,5932416,938516,128240,
7268483,6826663,441237,1382,6154814,970940,133258,
7522727,7061104,461048,1414,6372168,1002714,137673,
7779470,7297349,481411,1488,6588931,1037802,142120,
8039278,7531886,506627,1518,6810672,1070221,147094,
8299605,7761289,537517,1622,7033759,1102077,151858,
8559416,8000305,558290,1636,7249252,1140705,156872,
8820739,8243923,575869,1714,7468215,1178331,161367,
9082487,8489889,591743,1738,7693868,1209353,165903,
9341969,8731821,609141,1764,7919993,1237594,170291,
9602670,8975744,625857,1870,8142759,1270168,175109,
9863149,9219805,642248,1892,8361865,1305431,180131,
10000012,9347366,650682,1964,8479014,1319708,182253,
10000012,9347366,650682,1964,8479014,1319708,182253,
10000012,9347366,650682,1964,8479014,1319708,182253,
10000012,9347366,650682,1964,8479014,1319708,182253,
10000012,9347366,650682,1964,8479014,1319708,182253,
10000012,9347366,650682,1964,8479014,1319708,182253,
10000012,9347366,650682,1964,8479014,1319708,182253,
10000012,9347366,650682,1964,8479014,1319708,182253,
