all_flow_lemon,ipv4_flow,ipv6_flow,arp_flow,tcp_flow,udp_flow,icmp_flow,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
22,13,6,3,0,17,0,
48,24,19,5,0,41,0,
65,29,27,9,0,58,0,
72,33,28,11,0,65,0,
79,35,31,13,0,72,0,
83,36,32,15,0,76,0,
85,36,32,17,0,78,0,
89,38,32,19,0,82,0,
93,38,34,21,0,86,0,
95,38,34,23,0,88,0,
97,38,34,25,0,90,0,
99,38,34,27,0,92,0,
100,38,34,28,0,93,0,
100,38,34,28,0,93,0,
102,40,34,28,0,95,0,
102,40,34,28,0,95,0,
104,40,36,28,0,97,0,
104,40,36,28,0,97,0,
104,40,36,28,0,97,0,
104,40,36,28,0,97,0,
104,40,36,28,0,97,0,
165371,151048,14809,116,135639,27810,3954,
362533,333029,29970,136,292523,63070,8562,
553692,512343,41771,152,452948,89399,12769,
746695,694678,52397,218,606702,124811,16154,
938694,873830,65153,238,768784,150590,20113,
1130331,1054191,76362,314,929613,177404,23901,
1331747,1242066,90002,334,1095335,208056,28755,
1544632,1442092,102857,358,1274286,236860,33696,
1763138,1648407,114975,440,1462080,262832,38051,
1968702,1838866,129963,472,1633962,292248,42005,
2170393,2025852,144552,556,1805357,318196,45863,
2372110,2220282,151861,580,1975870,345239,49479,
2573933,2415544,158378,606,2139154,379523,53499,
2774954,2611106,163719,680,2305776,409698,57331,
2976539,2806143,170183,692,2473717,438582,60975,
3177405,2996842,180492,704,2645112,464743,64549,
3381070,3182687,198350,778,2820281,489679,67947,
3581579,3360028,221494,784,2989516,517122,71341,
3784289,3549046,235177,798,3163531,542168,74560,
3985639,3739350,245970,862,3335077,568664,77511,
4187485,3929987,257274,874,3513875,587921,80814,
4393899,4124492,269192,884,3694867,610179,84063,
4610798,4330375,280093,960,3885460,632830,87313,
4823401,4530948,292105,972,4070381,656504,90888,
5025166,4715882,309000,984,4245181,679642,94299,
5227178,4896321,330392,1056,4415942,706949,97851,
5429764,5088288,341017,1072,4590690,731444,101053,
5631243,5280298,350406,1086,4763433,756274,104458,
5832066,5471017,360429,1158,4937285,779429,107886,
6033226,5664674,368010,1180,5110011,804349,111206,
6234099,5857291,376197,1190,5274415,836743,114803,
6435173,6044598,389868,1258,5444051,864120,118315,
6636907,6234701,401543,1278,5616497,889903,121745,
6838389,6424702,413043,1290,5786918,917391,124991,
7040329,6614329,425218,1352,5958947,942868,128832,
7240520,6801325,438489,1396,6131137,966810,132642,
7449329,6992884,455742,1418,6307797,994714,136454,
7665116,7192529,471718,1496,6492947,1021064,140150,
7873437,7382635,489944,1514,6668057,1049942,143947,
8071801,7559715,511256,1536,6838524,1073727,147628,
8268799,7734696,533111,1632,7007289,1097858,151129,
8460790,7908746,550957,1646,7165995,1126600,155086,
8656449,8090475,564876,1661,7329638,1154719,158677,
8845159,8266673,577317,1734,7488232,1181245,161846,
9025879,8436250,588370,1751,7642536,1204046,164914,
9223149,8620356,601466,1774,7815005,1225023,168163,
9413260,8798374,613638,1817,7980892,1245851,171470,
9594311,8967695,625314,1888,8135049,1268689,174960,
9776364,9137857,637246,1907,8286901,1294922,178608,
9958952,9309129,648390,1942,8444182,1316094,181673,
10126966,9467362,658165,1997,8588775,1336248,184500,
10306951,9634759,670671,2012,8743513,1357090,188096,
10480320,9795430,683413,2031,8890784,1379142,191549,
10652520,9951591,699499,2116,9029290,1409106,194997,
10797871,10085530,710689,2130,9155671,1425103,197617,
10977290,10250326,725403,2146,9310235,1446357,201017,
11153682,10412297,739664,2234,9457995,1471897,203714,
11328785,10576200,750920,2238,9608716,1493477,206393,
11493070,10728722,762586,2252,9747764,1515903,208785,
11646485,10867663,777086,2266,9877422,1536626,211602,
11811501,11018434,791303,2358,10016046,1559793,214591,
11985884,11180083,803977,2372,10157137,1588603,218679,
12157687,11339574,816246,2382,10294115,1618666,223002,
12339818,11507666,830144,2478,10429752,1660557,227534,
12514753,11666678,846124,2498,10568603,1691186,232380,
12678370,11813785,862557,2586,10699239,1719198,236895,
12838732,11963146,873543,2610,10827598,1746863,241077,
13023793,12137506,884186,2626,10976201,1778619,245398,
13185650,12290483,892990,2712,11112244,1800939,248648,
13368196,12461552,904477,2736,11264063,1827175,252877,
13525004,12608012,914674,2750,11396765,1847079,256421,
13708877,12780008,926684,2824,11538323,1884826,260831,
13835326,12898356,934122,2848,11637988,1905698,264265,
13948834,13002769,943151,2914,11729958,1923824,267329,
14081127,13125010,953737,2940,11836554,1947943,270544,
14251944,13283389,966119,2962,11984130,1967476,273832,
14430681,13448561,979670,2980,12134702,1991845,277547,
14585838,13591542,991826,3040,12265259,2012535,280979,
14757500,13749725,1005264,3050,12409796,2035386,284895,
14934299,13912036,1019730,3074,12561867,2055792,288869,
15115061,14077172,1035312,3148,12712172,2081819,292982,
15300735,14247206,1050950,3170,12860387,2114704,297252,
15496334,14426624,1067131,3234,13026191,2139604,301692,
15688273,14604619,1080935,3258,13190239,2163045,305840,
15854989,14758075,1094178,3278,13332171,2183927,309602,
16046145,14933565,1109834,3346,13497855,2205037,313559,
16240260,15112801,1124657,3366,13663931,2228841,317545,
16404031,15264349,1136893,3380,13806481,2246489,320672,
16592776,15437345,1152579,3442,13968682,2269466,323883,
16774813,15602693,1169348,3456,14125411,2291125,327422,
16964566,15774166,1187537,3474,14285431,2316641,331210,
17140006,15930310,1206708,3554,14429135,2344332,334960,
17332177,16101942,1227247,3576,14588254,2373360,338896,
17516286,16267599,1245695,3600,14739358,2401929,342691,
17710366,16444470,1262811,3682,14902813,2428142,346864,
17814751,16539443,1271616,3692,14991767,2439063,348989,
17971658,16683865,1284646,3712,15126212,2460026,352408,
18167769,16862294,1302292,3784,15292760,2485591,356043,
18336543,17016824,1316494,3796,15432082,2511596,358941,
18523528,17190616,1329708,3822,15588672,2537795,362756,
18711495,17365310,1342804,3906,15740122,2569801,366847,
18888775,17530841,1354645,3934,15877852,2604168,371565,
19079137,17707568,1368247,4012,16018906,2647531,376948,
19268035,17881291,1383318,4030,16161954,2686698,382850,
19413134,18012923,1396650,4112,16275743,2712952,387337,
19591305,18177580,1410183,4132,16419093,2742600,392099,
19739249,18311828,1423867,4150,16539222,2766569,395467,
19937372,18495710,1438059,4212,16701578,2797986,399344,
20128916,18674802,1450462,4226,16866269,2820314,403231,
20355615,18885999,1466160,4252,17059242,2850030,407705,
20582266,19096061,1482662,4336,17250320,2879760,413060,
20770401,19269112,1496933,4356,17410359,2900716,417009,
21013730,19497332,1512781,4430,17617658,2934975,421158,
21259536,19726894,1528908,4446,17833334,2960236,425600,
21503694,19954376,1545532,4538,18045540,2987336,430113,
21741658,20175781,1562030,4556,18242993,3022202,435324,
21968955,20387203,1577118,4634,18426281,3057514,440862,
22182669,20586958,1591826,4650,18606989,3087794,445985,
22416607,20803557,1608404,4686,18803041,3119492,450583,
22657151,21023569,1629617,4742,19002529,3154892,456473,
22870922,21216047,1650813,4770,19185855,3180344,460829,
23119932,21444245,1671578,4854,19390259,3220326,465264,
23373878,21668935,1700820,4882,19606433,3252836,470288,
23625704,21891682,1729912,4960,19820342,3284694,475722,
23865658,22103725,1757804,4990,20024298,3315226,480769,
