all_flow_lemon,tcp,flow_num,
0,0,0,
0,0,0,
22,0,0,
13,0,0,
27,0,0,
9,0,0,
6,0,0,
5,0,0,
4,0,0,
4,0,0,
3,0,0,
3,0,0,
72571,58923,804,
262275,210067,1314,
232435,194518,1153,
197914,158790,1067,
195010,165020,1123,
202106,169265,1156,
207969,170883,1167,
206478,174925,1163,
207983,178754,1111,
207354,173993,1079,
206718,175321,1084,
208611,171803,1076,
208646,172984,1128,
203104,168328,1064,
232763,197194,1083,
235488,202654,1154,
232772,196929,1091,
235654,201772,1171,
219160,187729,1056,
230849,203018,1028,
232969,205493,1010,
232189,204365,1106,
234168,202831,1061,
207865,176964,1007,
210167,179012,1061,
220842,191090,1100,
232874,201866,1084,
211298,181766,1050,
213300,175147,1061,
231190,195461,1132,
231760,198038,1101,
232057,197214,1064,
233836,199799,1108,
228407,195410,1089,
209633,179323,1028,
216327,182320,1096,
218068,187190,1072,
194009,166363,1056,
258797,215004,1188,
269085,226590,1145,
270439,231546,1196,
271072,236881,1200,
269867,230378,1231,
270373,228591,1304,
268058,231086,1168,
269826,230480,1199,
269755,221698,1181,
270422,234280,1216,
269450,230021,1103,
270864,229952,1093,
271060,227560,1184,
269569,218986,1265,
204501,157195,1188,
193749,149712,1152,
190906,152129,1225,
191154,153023,1215,
177542,142766,1134,
178955,151909,1079,
178940,147972,1108,
180040,146044,1067,
232431,184452,1292,
268894,216310,1298,
268436,230282,1240,
269416,227510,1198,
269020,229022,1256,
265761,220755,1188,
269903,221927,1287,
264863,226002,1277,
268370,229557,1232,
268900,231765,1175,
269739,232773,1192,
268415,232053,1149,
267673,222478,1249,
269029,222966,1193,
266339,221273,1200,
268286,228199,1260,
269311,228725,1214,
267998,225899,1217,
268205,219869,1226,
265503,204126,1352,
268267,200249,1369,
267105,208850,1435,
213333,173188,1218,
190563,155365,1086,
193764,166000,1090,
202764,173919,1113,
201735,169427,1124,
201831,172273,1103,
186302,156906,1055,
182573,158551,1018,
222322,195496,1098,
266037,229466,1244,
264495,218904,1280,
264548,216186,1264,
265603,224436,1190,
219709,181231,1139,
215226,184548,1107,
191737,160519,1079,
199435,163370,1102,
203487,174063,1086,
203055,172554,1051,
